0 139
-2361.827148 -533.885986 -313.928223
-2361.813721 -533.885986 -313.993927
-2361.730713 -533.885986 -314.492920
-2361.670166 -533.885986 -314.996582
-2361.669189 -533.885986 -315.016541
-2361.644775 -533.885986 -315.498291
-2361.573242 -533.885986 -315.999603
-2361.539063 -533.885986 -316.474396
-2361.538086 -533.885986 -316.504608
-2361.520264 -533.885986 -317.011566
-2361.522217 -533.885986 -317.515594
-2361.517090 -533.885986 -318.020599
-2361.517578 -533.885986 -318.088043
-2361.515381 -533.885986 -318.524841
-2361.515625 -533.885986 -319.031006
-2361.527832 -533.885986 -319.441254
-2361.530518 -533.885986 -319.533875
-2361.540771 -533.885986 -320.036377
-2361.560791 -533.885986 -320.543518
-2361.569580 -533.885986 -320.717346
-2361.558838 -533.885986 -321.043304
-2361.556152 -533.885986 -321.552765
-2361.565918 -533.885986 -321.957397
-2361.568115 -533.885986 -322.061646
-2361.582764 -533.885986 -322.563538
-2361.587158 -533.885986 -323.069916
-2361.587158 -533.885986 -323.124756
-2361.592529 -533.885986 -323.575500
-2361.596436 -533.885986 -324.080322
-2361.599854 -533.885986 -324.581848
-2361.592773 -533.885986 -324.846741
-2361.585693 -533.885986 -325.083740
-2361.572754 -533.885986 -325.588745
-2361.576172 -533.885986 -326.042206
-2361.576172 -533.885986 -326.094147
-2361.572754 -533.885986 -326.600708
-2361.563965 -533.885986 -327.102020
-2361.565918 -533.885986 -327.612091
-2361.562988 -533.885986 -328.122131
-2361.553711 -533.885986 -328.621887
-2361.566406 -533.885986 -329.103638
-2361.565430 -533.885986 -329.123627
-2361.570801 -533.885986 -329.630951
-2361.565430 -533.885986 -330.132843
-2361.569092 -533.885986 -330.640198
-2361.557617 -533.885986 -331.140930
-2361.563477 -533.885986 -331.648651
-2361.563721 -533.885986 -332.149017
-2361.556396 -533.885986 -332.658661
-2361.556396 -533.885986 -333.162506
-2361.549072 -533.885986 -333.662476
-2361.546387 -533.885986 -334.070801
-2361.548340 -533.885986 -334.169830
-2361.541504 -533.885986 -334.676758
-2361.549316 -533.885986 -335.180603
-2361.538330 -533.885986 -335.680756
-2361.542969 -533.885986 -336.185394
-2361.545166 -533.885986 -336.690796
-2361.533691 -533.885986 -337.059174
-2361.527832 -533.885986 -337.197540
-2361.535645 -533.885986 -337.702148
-2361.526367 -533.885986 -338.202911
-2361.521729 -533.885986 -338.704437
-2361.527832 -533.885986 -339.210602
-2361.535889 -533.885986 -339.713470
-2361.531006 -533.885986 -340.217712
-2361.531738 -533.885986 -340.718628
-2361.536621 -533.885986 -340.882385
-2361.532227 -533.885986 -341.219971
-2361.538330 -533.885986 -341.725952
-2361.541748 -533.885986 -342.226501
-2361.544189 -533.885986 -342.727051
-2361.541504 -533.885986 -343.229340
-2361.541504 -533.885986 -343.730469
-2361.556396 -533.885986 -344.145355
-2361.560059 -533.885986 -344.242859
-2361.563477 -533.885986 -344.750366
-2361.556641 -533.885986 -345.260223
-2361.551270 -533.885986 -345.446075
-2361.549072 -533.885986 -345.762726
-2361.547607 -533.885986 -346.264435
-2361.552246 -533.885986 -346.772736
-2361.556152 -533.885986 -346.902771
-2361.567383 -533.885986 -347.273071
-2361.572266 -533.885986 -347.772858
-2361.572998 -533.885986 -348.280762
-2361.575195 -533.885986 -348.745667
-2361.574707 -533.885986 -348.784424
-2361.566162 -533.885986 -349.286713
